Year,Installed Capacity (MW),Generation (GWh),Imports (GWh),Consumption (GWh)
2002-03,17787,75682,,51655
2003-04,18252,80827,73,57491
2004-05,19379,85629,109,61328
2005-06,19450,93774,146,67603
2006-07,19420,98384,171,72712
2007-08,19420,95860,199,73400
2008-09,19786,91843,227,70371
2009-10,20922,95608,249,74348
2010-11,22477,94285,269,77099
2011-12,22797,95091,274,76761
2012-13,22812,96122,375,76789
2013-14,23531,103670,419,83409
2014-15,23579,106966,443,85818
2015-16,25889,111300,463,90431
2016-17,29944,123118,496,95530
2017-18,33554,131275,556,106227
2018-19,35114,128532,487,109461
